,index,Usuario,Titulo,Tipo,Descripcion,Año de lanzamiento,Clasificacion por edad,Duracion,imdb_usuario,imdb_puntuacion,imdb_votos
2206,2206.0,ts75341,Final Fantasy XIV: Dad of Light,SHOW,A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.,2017,TV-PG,30,tt6497076,7,592
2207,2207.0,ts83906,Car Masters: Rust to Riches,SHOW,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",2018,TV-PG,39,tt8893550,8,10024
2213,2213.0,ts92825,Lego Jurassic World: The Secret Exhibit,SHOW,How the characters from Lego Jurassic World: The Indominus Escape (2016) and Jurassic World (2015) got involved with the Park.,2018,TV-Y,22,tt9322614,6,244
2216,2216.0,ts89130,If I Hadn't Met You,SHOW,"Eduard, a husband and father who loses his family in a tragic accident, travels to parallel universes to seek a better fate for his beloved wife.",2018,TV-MA,52,tt8517780,7,2283
2218,2218.0,tm406831,Modest Heroes,MOVIE,"Two tiny, aquatic humanoids search for their missing father, a boy battles a lethal allergy to eggs, and an invisible salaryman tries to become a hero.",2018,PG,53,tt8223844,6,2646
2219,2219.0,ts39016,Girlboss,SHOW,"Sophia is a rebellious, broke anarchist who refuses to grow up. She stumbles upon her passion of selling vintage clothes online and becomes an unlikely businesswoman. As she builds her retail fashion empire, she realizes the value and the difficulty of being the boss of her own life.",2017,TV-MA,27,tt5706996,7,17525
2220,2220.0,ts80519,Spy Kids: Mission Critical,SHOW,"In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. -- without the help of their super-spy parents.",2018,TV-Y7,25,tt6714408,5,372
2221,2221.0,tm408941,Mercury 13,MOVIE,"After rigorous testing in 1961, a small group of skilled female pilots are asked to step aside when only men are selected for spaceflight.",2018,NC-17,79,tt8139850,6,1160
2225,2225.0,tm363231,Godzilla: City on the Edge of Battle,MOVIE,"Humanity's desperate battle to reclaim the Earth from Godzilla continues. The key to defeating the King of the Monsters may be Mechagodzilla, a robotic weapon thought to have been lost nearly 20,000 years ago.",2018,PG-13,105,tt8015080,5,4824
2229,2229.0,tm139564,The Outcasts,MOVIE,"After falling victim to a humiliating prank by the high school Queen Bee, best friends and world-class geeks, Mindy and Jodi, decide to get their revenge by uniting the outcasts of the school against her and her circle of friends.",2017,PG-13,95,tt2597760,5,4426
2232,2232.0,ts79409,A.I.C.O. -Incarnation-,SHOW,"In Japan in the year 2035, an accident known as the ""Burst"" occurs during a research project, spawning an out-of-control artificial life form called ""Matter"" that has spread throughout the Kurobe Gorge. The research city that was once hailed as the hope for humanity is cordoned off by the government. Two years later, 15-year-old Aiko Tachibana, who lost her family in the Burst, learns something unbelievable from Yuya Kanzaki, a new student at her school. A secret is hidden within her body, and the answer to the puzzle lies at the ""Primary Point"" that was the center of the Burst. Aiko resolves to infiltrate the restricted area, escorted by a team of divers and with Yuya as her guide. When boy meets girl with the fate of humanity in their hands, what new truth will come to light?",2018,TV-14,24,tt8116380,6,1189
2233,2233.0,ts53399,Eternal Love,SHOW,"Three hundred years ago, Bai Qian stood on the Zhu Xian Terrace, turned around and jumped off without regret. Ye Hua stood by the bronze mirror to witness with his own eyes her death. Three hundred years later, in the East Sea Dragon Palace, the two meet unexpectedly. Another lifetime another world, after suffering betrayal Bai Qian no longer feels anything, yet she can't seem to comprehend Ye Hua's actions. Three lives three worlds, her and him, are they fated to love again?",2017,TV-14,45,tt6488862,8,2214
2236,2236.0,tm437608,Adam Sandler: 100% Fresh,MOVIE,"Adam Sandler takes his comical musical musings back out on the road, from comedy clubs to concert halls to one very unsuspecting subway station.",2018,R,73,tt9036126,7,5096
2242,2242.0,ts82127,Sirius the Jaeger,SHOW,"Imperial Capital, 1930. A strange group of people carrying musical instrument cases landed on Tokyo station. They are called the ""Jaegers"", who came to hunt vampires. Amongst them, there stood a young man with striking serenity and unusual aura. His name is Yuliy, a werewolf whose home village was destroyed by vampires. Yuliy and the Jaegers engage in deadly battle over a mysterious holy arc only known as ""The Arc of Sirius"". What truth awaits them at the end...?",2018,TV-MA,23,tt8565136,6,1883
2243,2243.0,ts78353,Misty,SHOW,"When a popular anchorwoman for a prime time news show becomes the suspect in a murder case, her estranged husband - who has worked as a prosecutor in the past but now works as a public defender - decides to defend his wife.",2018,TV-MA,71,tt7890244,8,596
2244,2244.0,ts103638,Standup and Away! with Brian Regan,SHOW,Bryan Regan blends his trademark observational stand-up with short sketches and a bit of audience interaction in this hybrid comedy series.,2018,TV-PG,25,tt9384194,5,390
2245,2245.0,ts77034,A Love So Beautiful,SHOW,"It tells the love story of two childhood sweethearts that spans 19 years. Chen Xiao Xi is a cute and small girl with a lot of positive energy. She gets to know Jiang Chen, a tall and proud genius boy, at school and tries everything to pursue him. The drama depicts the beautiful and pure heart throbbing love of seventeen years olds, but also delves into the topic of making mistakes andhow to find back to each other again.",2017,TV-14,41,tt8434720,8,1386
2246,2246.0,ts86949,The A List,SHOW,"Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama.",2018,TV-PG,27,tt9185110,5,2787
2249,2249.0,tm370392,The Week Of,MOVIE,The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.,2018,PG-13,116,tt6821012,5,21481
2255,2255.0,tm448122,Taylor Swift: Reputation Stadium Tour,MOVIE,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",2018,PG-13,125,tt9426852,8,5293
2256,2256.0,tm299761,Toc Toc,MOVIE,Toc Toc follows the adventures and misadventures of a group of patients with OCD dated at the same time.,2017,PG,90,tt6060156,6,18484
2257,2257.0,tm440415,John Leguizamo's Latin History for Morons,MOVIE,"In this one-man Broadway show, John Leguizamo finds humor and heartbreak as he traces 3,000 years of Latin history in an effort to help his bullied son.",2018,PG,89,tt9777830,7,738
2264,2264.0,ts80090,The Piano Forest,SHOW,"A tranquil tale about two boys from very different upbringings. On one hand you have Kai, born as the son of a prostitute, who's been playing the abandoned piano in the forest near his home ever since he was young. And on the other you have Syuhei, practically breast-fed by the piano as the son of a family of prestigious pianists. Yet it is their common bond with the piano that eventually intertwines their paths in life.",2018,TV-PG,26,tt8043492,7,883
2265,2265.0,ts80313,Bobby Kennedy for President,SHOW,"Historic footage and leading voices of the era examine the ""Bobby Phenomenon"" of the 1960s and the legacy of the man who helped redefine the country.",2018,TV-MA,61,tt8200004,8,1759
2266,2266.0,ts90994,Chip and Potato,SHOW,"Lovable pug Chip starts kindergarten, makes new friends and tries new things -- with a little help from Potato, her secret mouse pal.",2018,TV-Y,15,tt9897038,6,155
2271,2271.0,ts84346,Falsa identidad,SHOW,"Isabel and Diego, two complete strangers, must assume the identity of a married couple in order to flee the state of Sonora.",2018,TV-14,43,tt8598690,7,351
2274,2274.0,ts84833,Diablero,SHOW,A young priest enlists the help of a demon hunter and a paranormal expert to search for a kidnapped girl in the underworld of Mexico City.,2018,TV-MA,38,tt7414954,6,2521
2281,2281.0,tm405738,Perdida,MOVIE,"A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.",2018,R,103,tt7841496,5,4684
2286,2286.0,tm327622,S.W.A.T.: Under Siege,MOVIE,"When a D.E.A. and S.W.A.T. cartel takedown ends in a shootout, S.W.A.T. Agent Travis Hall seizes a mysterious prisoner taking him into custody. Before long, the S.W.A.T. compound is under siege by wave-after-wave of assault teams attempting to recover the prisoner known as â€œThe Scorpionâ€ for the tattoo blazed across his back. When Travis discovers that his prisoner is a Secret Ops double agent planted within the cartel, itâ€™s up to him and his expert S.W.A.T. team to keep â€œThe Scorpionâ€ and his billion dollar secrets safe.",2017,R,89,tt6014472,4,3524
2289,2289.0,ts78053,Kakegurui,SHOW,"Children from influential families in politics and businesses attend the Hyakkaou Private Academy. There, the hierarchy of the students are classified by a series of games. Students that win the games are on the ruling side and the students who lose become slaves. One day, a mysterious girl, Yumeko Jabami (Minami Hamabe), is transferred to Hyakkaou Private Academy. She looks pure and pretty, but she is actually a compulsive gambler and seeks out the thrill of taking calculated risks.",2018,TV-MA,30,tt7691766,6,966
2290,2290.0,ts80057,Last Hope,SHOW,"After causing the near extinction of mankind seven years ago, genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.",2018,TV-14,24,tt8893554,5,427
2291,2291.0,ts111582,The Platform,SHOW,"The Platform is a weekly variety show about stories. All kinds of people sharing all kinds of stories from all parts of the world. People, Places, Stories, Faces. With the right platform anything's possible, so it's super fun putting the show together each week with the goal of finding and sharing inspirational stories. The same goes with artists too. Finding talent and giving them the chance to not only play but share their story beforehand. Sometimes it's new talent, and other times it's names from the past that we all know and love. Everyone's got a story to tell - and The Platform is a space to share that with our audience.",2018,TV-14,45,tt8254954,6,7
2297,2297.0,ts80413,Busted!,SHOW,"Suspense, surprises and fun abound in this Korean variety game show featuring big personalities and even bigger mysteries in every episode.",2018,TV-14,75,tt8328460,7,898
2298,2298.0,tm409618,Alex Strangelove,MOVIE,"Alex Truelove is on a quest to lose his virginity, an event eagerly awaited by his patient girlfriend and cheered on with welcome advice by his rowdy friends. But Alex, a super gregarious dude, is oddly unmotivated. A magical house party throws Alex into the presence of Elliot, a hunky college guy, who pegs Alex as gay and flirts hard. Alex is taken aback but after a series of setbacks on the girlfriend front he takes the plunge and learns some interesting new facts about himself.",2018,R,99,tt5688996,6,17305
2299,2299.0,tm244274,Lowriders,MOVIE,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.",2017,PG-13,99,tt1366338,5,2519
2300,2300.0,ts85659,3Below: Tales of Arcadia,SHOW,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",2018,TV-Y7,22,tt7736544,7,5927
2303,2303.0,ts54050,Ultimate Beastmaster,SHOW,"In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.",2017,TV-PG,59,tt5706758,7,2359
2305,2305.0,tm318641,Justice,MOVIE,A U.S. Marshal seeking justice for his brother's murder defends a small town from a corrupt Mayor and his henchmen with intents to revive the civil war.,2017,R,92,tt5143890,4,1208
2308,2308.0,tm366973,Tom Segura: Disgraceful,MOVIE,"Tom Segura gives voice to the sordid thoughts you'd never say out loud, with blunt musings on porn, parking lot power struggles, parenthood and more.",2018,PG-13,74,tt7379330,7,3695
2310,2310.0,tm420797,Sierra Burgess Is a Loser,MOVIE,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018,PG-13,105,tt3120280,5,38319
2312,2312.0,tm406098,Battle,MOVIE,"Amalie is the girl who has everything, good looks, money, a boyfriend and a big talent of dancing. One day, her world falls apart and she moves from everything she knows. Then enter Mikael. He is dancing in the streets and Amalie joins him in dancing on the streets, dancing Battles.",2018,R,95,tt6854672,5,4139
2313,2313.0,tm374845,The Seven Deadly Sins: Prisoners of the Sky,MOVIE,"Traveling in search of the rare ingredient, â€œsky fishâ€  Meliodas and Hawk arrive at a palace that floats above the clouds. The people there are busy preparing a ceremony, meant to protect their home from a ferocious beast that awakens once every 3,000 years. But before the ritual is complete, the Six Knights of Blackâ€”a Demon Clan armyâ€”removes the seal on the beast, threatening the lives of everyone in the Sky Palace.",2018,PG-13,99,tt9089294,7,4649
2318,2318.0,tm413557,Okko's Inn,MOVIE,"12-year-old Oriko Seki, who lost her parents in a car accident, ended up living in her grandmother's Onsen Ryokan ""Haru no Ya."" With the ghost ""Uribou"" cohabitating with her and all the other odds, she ended up training to be a young female innkeeper. At first, she didn't like the training, but gradually felt her admiration for her title and began to train seriously. Thus, the growth of the young warrior Oriko begins.",2018,PG,94,tt8328740,7,1803
2319,2319.0,ts81944,The Comedy Lineup,SHOW,A diverse group of up-and-coming comedians perform 15-minute sets in this stand-up comedy showcase series.,2018,TV-MA,18,tt8687584,5,457
2325,2325.0,ts78767,First Team: Juventus,SHOW,Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,2018,TV-G,36,tt7924812,7,2061
2328,2328.0,ts85732,The Final Table,SHOW,Team of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this fast-paced competition.,2018,TV-PG,43,tt5545584,7,3989
2329,2329.0,tm348010,Killing Hasselhoff,MOVIE,"A man in a high stakes celebrity death pool quickly loses everything - his business, his bank account, his home, his fiancÃ©. He snaps, then realizes the only way to get his life back on track. He'll have to murder his own celebrity. He'll have to kill Hasselhoff.",2017,R,79,tt2967226,4,2655
2331,2331.0,tm300027,Thi Mai,MOVIE,"After losing her daughter in an accident, Carmen loses all incentive to keep going, until she receives an unexpected letter from the adoption agency: her daughter was finally granted the Vietnamese girl she had asked for adoption and whose name is Thi Mai.",2018,G,100,tt6126346,6,2504
2332,2332.0,ts82875,Switched,SHOW,"High schooler Ayumi's perfect world evaporates when her envious classmate Zenko somehow steals her body, her boyfriend and her life.",2018,TV-MA,39,tt8747882,7,1402
2335,2335.0,tm408890,YucatÃ¡n,MOVIE,Two white collar thieves compete fiercely against the other trying to steal to an old baker the millions he won on the lotto.,2018,PG,129,tt6502956,5,2065
2339,2339.0,ts80059,Trump: An American Dream,SHOW,"Friends, associates and critics reveal the truly American story of Donald Trump, the brash businessman who defied the odds to become U.S. president.",2017,TV-14,55,tt7596008,7,4003
2343,2343.0,ts57300,Marlon,SHOW,"A loving (but immature) father is committed to co-parenting his two kids with his very-together ex-wife. While his misguided fatherly advice, unstoppable larger-than-life personality and unpredictable Internet superstardom might get in the way sometimes, for Marlon, family really always does come first - even if he's the biggest kid of all.",2017,TV-PG,21,tt5722376,7,4056
2344,2344.0,ts56636,My Sassy Girl,SHOW,"Set in the Joseon Dynasty period, a romance takes place between cold-hearted Gyun-Woo and Princess Hyemyung who causes troubles.",2017,TV-14,41,tt6175760,6,561
2345,2345.0,ts84780,Wild District,SHOW,"After surrendering to BogotÃ¡ police, an ex-guerrilla avoids prison by working undercover to investigate a ruthless enforcer of government corruption.",2018,TV-MA,45,tt8105958,8,1898
2348,2348.0,ts82296,My ID is Gangnam Beauty,SHOW,"This romantic comedy chronicles the life of Mirae, who has always believed that her life would be better if she were born more beautiful. After she goes under the knife, she comes out looking like the beautiful woman she has always dreamed of becoming. She feels ready to take on the world for the first time, and she falls madly in love with Seok, the perfect man. Except Seok hates people who get plastic surgery.",2018,TV-MA,63,tt8585954,7,3774
2351,2351.0,ts83359,100 Days My Prince,SHOW,"Lee Yool falls off a cliff and nearly dies in an attempted assassination. He loses his memory, and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.",2018,TV-14,75,tt8199972,7,1938
2352,2352.0,tm270490,The B-Side: Elsa Dorfman's Portrait Photography,MOVIE,"Portrait photographer Elsa Dorfman found her medium in 1980: the larger-than-life Polaroid Land 20x24 camera. For the next thirty-five years, she captured the â€œsurfacesâ€ of those who visited her studio: families, Beat poets, rock stars, and Harvard notables. As pictures begin to fade and her retirement looms, Dorfman gives Errol Morris an inside tour of her backyard archive.",2017,R,76,tt5952468,6,743
2353,2353.0,tm358949,A Very Country Christmas,MOVIE,"Jeanette Williams is a busy single parent, trying to make the best life for her and her daughter. With no time to follow current celebrity gossip, Jeanette is unaware of when a Country superstar returns to their small town to escape the intrusive paparazzi and the chaos of fame. A chance meeting between the two have them both letting their guards down and opening their hearts to the possibility of romance.",2017,G,83,tt7001906,6,1622
2355,2355.0,ts79330,Girls Incarcerated,SHOW,"An eight-part documentary series that goes behind the scenes at Madison Juvenile Correctional Facility in Indiana, where teenage girls struggle to overcome their troubled pasts and find hope for the future.",2018,TV-MA,45,tt8092942,7,1073
2357,2357.0,ts85202,Brainchild,SHOW,"From germs and emotions to social media and more, it's the science of your world explained in a way that's refreshingly relatable.",2018,TV-Y7,25,tt9203042,8,415
2360,2360.0,tm330869,Show Dogs,MOVIE,"Starring Will Arnett, Chris ""Ludacris"" Bridges, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Alan Cumming, and Stanley Tucci, SHOW DOGS is a family comedy about the unlikely pairing of a human detective (Arnett) and his canine partner (voice of Chris ""Ludacris"" Bridges), who has to go undercover at the world's most exclusive dog show to solve his biggest case yet.",2018,PG,90,tt5691024,3,4653
2361,2361.0,tm350607,Escape from Mr. Lemoncello's Library,MOVIE,Can twelve 12-year-olds escape from the most ridiculously brilliant library ever created? Escape from Mr. Lemoncello's Library plunks a dozen sixth-graders into the middle of a futuristic library for a night of nonstop fun and adventure.,2017,G,69,tt5878476,5,440
2363,2363.0,ts83457,Cleo & Cuquin,SHOW,Sister and brother Cleo and Cuquin carry out different job roles to help their friends.,2018,TV-Y,7,tt7956374,8,98
2364,2364.0,tm407295,Amateur,MOVIE,14-year-old basketball phenom Terron Forte has to navigate the under-the-table world of amateur athletics when he is recruited to an elite NCAA prep school.,2018,R,96,tt5580392,5,4303
2365,2365.0,ts82181,Back Street Girls: Goku Dolls,SHOW,"A group of 3 yakuza failed their boss for the last time. After messing up an important job, the boss gave them 2 choices: honorably commit suicide, or go to Thailand to get a sex reassignment surgery in order to become ""female"" idols. After a gruesome year training to become idols, they successfully debut, with overwhelming popularity, much to their dismay. This is where their tragedy truly begins.",2018,TV-MA,24,tt8693818,6,815
2366,2366.0,tm282910,Fireworks,MOVIE,"Moshimo, Japan. The annual fireworks festival is about to take place and a group of schoolboys, arguing over whether they are round or flat when viewed from different angles, set out to find it out.",2017,PG-13,90,tt6317962,5,3147
2367,2367.0,ts53516,Edgar Rice Burroughs' Tarzan and Jane,SHOW,"Saved from a plane crash and given supernatural powers, teen Tarzan joins forces with brave city girl Jane to protect his jungle home from threats.",2017,TV-Y7,21,tt6216718,4,270
2370,2370.0,tm419496,Lust Stories,MOVIE,An anthology of four stories that sheds light on modern relationships from the viewpoint of the Indian woman.,2018,R,120,tt8439854,6,10725
2372,2372.0,ts95274,Age of Tanks,SHOW,"The history of the powerful weapon on land, the tank. Covers its entire history, from paper designs of the early-1900s to the beasts of the present day.",2017,TV-PG,54,tt8107992,7,852
2373,2373.0,tm294581,The Clapper,MOVIE,15 minutes of fame destroys the life of a man who works as a clapper in television.,2018,R,89,tt5461956,5,7425
2375,2375.0,ts118696,Robot Trains,SHOW,"Set in the ""Train World"" where all citizens are trains. However, among the residents there are special trains that can transform into robots, the Robot Trains. Featuring our 5 train heroes, with special powers: Kay, Alf, Duck, Selly and Victor - and their exciting adventures. Can the Robot Trains save the village from the evil dark forces that be?",2017,TV-Y7,12,tt7216288,6,87
2380,2380.0,ts83554,Inside the Criminal Mind,SHOW,Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.,2018,TV-MA,48,tt6775794,5,986
2381,2381.0,ts58442,Live Up To Your Name,SHOW,"Heo Im is an oriental doctor, acknowledged as the best in acupuncture and moxibustion in Joseon. His success is blocked due to his low status.

One day, Heo Im travels though time and finds himself in present day Seoul. He meets Choi Yeon-Kyung. She is doctor firmly believing in only modern medicine.",2017,TV-MA,69,tt7094874,8,1224
2386,2386.0,ts80030,Fastest Car,SHOW,The drivers of exotic supercars put their street cred on the line against deceptively fast sleeper cars built and modified by true gearheads.,2018,TV-MA,45,tt8295694,7,1324
2396,2396.0,ts83247,Stay Here,SHOW,Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.,2018,TV-PG,32,tt8773338,7,1095
2399,2399.0,ts76509,Beyond Stranger Things,SHOW,"Secrets from the ""Stranger Things 2"" universe are revealed as cast and guests discuss the latest episodes with host Jim Rash. Caution: spoilers ahead!",2017,TV-14,21,tt7570990,7,1883
2400,2400.0,ts90880,44 Cats,SHOW,"The adventures of four kittens who make up the musical group called The Buffycats, with stories focusing on themes of friendship, altruism, tolerance and diversity.",2018,TV-Y7,15,tt9699148,6,283
2404,2404.0,tm429382,Nappily Ever After,MOVIE,"After an accident at the hair salon, Violet realizes she's not living life to the fullest. A soulful barber helps her put the pieces back together.",2018,NC-17,100,tt0365545,6,9139
2407,2407.0,ts80084,Dragon Pilot: Hisone and Masotan,SHOW,"Straightforward and innocent Hisone Amakasu is a Self-Defense Force rookie stationed at the Air Self-Defense Force's Gifu Base. She was struggling with the fact that she sometimes hurts people unintentionally by her innocent words and decided to join the Air Self-Defense Force, hoping to maintain a certain distance from people. This decision led her to a fateful encounter which profoundly changed her life. It was the ""OTF"" dragon hidden in the base and it chose Hisone as his pilot. When it soared into the sky with Hisone, her fate as a dragon pilot was decided. It is said that dragons have a key to the future of the world...",2018,TV-14,24,tt8528256,6,494
2408,2408.0,ts86279,Nailed It! Holiday!,SHOW,"It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",2018,TV-PG,36,tt8760264,7,1086
2411,2411.0,tm366143,Maktub,MOVIE,"Steve & Chuma , two criminals are the sole survivors of a terrorist attack at a restaurant in Jerusalem. They decide to change their ways and become flesh and blood angels. They go on a journey of wish fulfilment for people who write requests on paper and put between the sacred stones of the Wailing Wall.",2017,PG-13,100,tt7252000,7,2831
2415,2415.0,ts80042,ReBoot: The Guardian Code,SHOW,Four tech-savvy teens hone their skills as cyber-superheroes in a series of secret missions to save the world.,2018,TV-G,23,tt6849940,3,1189
2417,2417.0,ts75718,Neo Yokio,SHOW,"Joined by his faithful mecha-butler, Kaz Kaan pursues love, fashion and supernatural forces amid Neo Yokio's sinister high society.",2017,TV-MA,23,tt7343832,5,3359
2418,2418.0,ts75620,Black,SHOW,"A Grim Reaper, a detective and a woman who foresees death get ensnared in matters of life and death -- and dark mysteries of twenty years past.",2017,TV-MA,78,tt6380900,8,3665
2423,2423.0,tm238587,Shepherds and Butchers,MOVIE,A lawyer takes on a case of a prison guard in South Africa who is traumatized by the executions he's witnessed.,2017,R,106,tt4627352,6,3460
2431,2431.0,tm372917,Pope Francis: A Man of His Word,MOVIE,"Pope Francis responds to questions from around the world, discussing topics including ecology, immigration, consumerism and social justice.",2018,PG,96,tt6915100,6,2240
2444,2444.0,ts76793,Shot in the Dark,SHOW,"Three rival freelance stringers scour the streets at night to film crime scenes, fires, accidents -- and anything else they can sell to news outlets.",2017,TV-MA,35,tt10478382,8,1770
2452,2452.0,ts89067,Love and Fortune,SHOW,"Wako Taira is 31-years-old. She works part-time at a cinema close to her home. Her boyfriend is Fu-kun and they have lived together for 3 years. She has never thought of breaking up with her boyfriend, considering her age. One day, she meets high school student Yumeaki Iko. She can't resist him. Wako Taira has an affair with Yumeaki Iko.",2018,TV-MA,69,tt8649316,7,547
2453,2453.0,ts78145,Drug Lords,SHOW,"Witness the stories of history's most notorious kingpins, their terrifying enforcers, and the men and women who've sworn to bring them down.",2018,TV-MA,45,tt7935522,6,1305
2457,2457.0,ts83213,The Rise of Phoenixes,SHOW,"When a secret from the past rears its head, respected warrior Feng Zhiwei is forced to choose between revenge and her loyalty to ruling prince Ning Yi.",2018,TV-14,45,tt7052634,8,1477
2462,2462.0,tm515157,Point Blank,MOVIE,A top spy must clear his name when he faces military sanctions.,2017,NC-17,86,tt2499472,5,14184
2467,2467.0,tm371212,My Perfect Romance,MOVIE,"Newly appointed CEO of Robinson Tech, Wes Robinson, is looking for new ideas to boost the company's sales. Vivian Blair, a program developer, shares a dating algorithm she has been working on called My Perfect Match. Wes sees potential and an opportunity to turn the company around and launches the service. When the pair is challenged to use My Perfect Match themselves to find love, this algorithm shows some interesting results.",2018,PG-13,91,tt7358936,4,3012
2471,2471.0,tm358746,A Witches' Ball,MOVIE,"Every year the Witching World gathers to celebrate the newly inducted witches into their world. Beatrix (12) is eager to become part of this world, but when her pending magical status is jeopardized she needs the help of her furry best friend Muggs (voiced by Joey Fatone) to solve some magical riddles before the big event. Will Beatrix sink or soar on the night of the Witches' Ball?",2017,PG,90,tt5814408,5,376
2472,2472.0,tm340587,Ittefaq,MOVIE,"Police officer Dev investigates a double murder case that has only two witnesses - an acclaimed writer Vikram and a young homemaker Maya, who also happen to be the prime suspects in the case. He finds himself being torn between their own version's of what happened on the fateful night, and takes it upon himself to figure out the real story and capture the real murderer.",2017,PG,107,tt6692354,7,12095
2481,2481.0,ts85217,Motown Magic,SHOW,"Imaginative boy Ben transforms his city by bringing colorful street art to life, armed with a magic paintbrush -- and the classic sounds of Motown.",2018,TV-Y,17,tt8959860,7,292
2484,2484.0,ts89372,Titipo Titipo,SHOW,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,2018,TV-Y,18,tt12987396,6,19
2487,2487.0,ts79988,Lost Song,SHOW,"Rin, an energetic girl who loves to eat, lives in a verdant frontier village.

Deep within the royal palace in the bustling capital city, the songstress Finis spends her days in solitude.

Both share a special power no other person has. A miraculous power that can heal wounds, create water and stir the wind -- the power of song.  Guided by destiny, the two young women each face an arduous journey with the power of song.

The shadow of war looms over the kingdom, tainting even the miraculous songs with the blood of innocents.

Loved ones meet their deaths as silent screams echo through a stone prison.  As two destinies intersect, will the final song be one of despair, hope or...?",2018,TV-14,24,tt7211600,7,375
2489,2489.0,tm233484,Duck Duck Goose,MOVIE,"After heâ€™s grounded by an injury, a high-flying bachelor is saddled with two wide-eyed orphans as they come face-to-face with the dangers and beauty of the outside world.",2018,PG,82,tt4940416,5,3686
2490,2490.0,tm440678,Revenger,MOVIE,"Hell-bent on avenging the murder of his family, a former detective infiltrates a remote island that serves as a prison for vicious death row criminals.",2018,NC-17,102,tt9426186,5,4252
2493,2493.0,ts82419,Zac & Mia,SHOW,"""Zac and Mia"", based on the novel by A.J. Betts, about 2 teens battling cancer in the same hospital. In the real world, Zac and Mia would have pretty much nothing in common, but in the hospital, where they're the only 2 teens on the ward, they develop an unbreakable bond. If cancer is the variable that changed everything, the only constant is their ever-deepening need for one another.",2017,TV-14,20,tt7487358,7,622
2494,2494.0,ts95011,Move,SHOW,"The series is called MOVE and each episode brings us inside the life of a Canadian living with mental illness who has found a positive way to ""self-medicate"" through the discovery of exercise and human movement.",2018,TV-MA,25,tt9165300,7,112
2500,2500.0,tm427143,Edge of Fear,MOVIE,"After being stabbed in the heart by ruthless home invaders, a man is left for dead. Now weak, outnumbered, and knife sticking from his chest, he attempts to do the impossible: save his wife from these murderers before he bleeds to death.",2018,R,91,tt7149916,4,3124
2501,2501.0,ts80479,Clean with Passion for Now,SHOW,"Gil Oh-so, an employee at a cleaning company, meets Jang Seon-gyul, the boss of the company. The two are diametric opposite when it comes to cleanliness. With the help of Oh-sol, Seon-gyul faces his mysophobia and falls in love with her.",2018,TV-MA,69,tt7981562,7,1246
2502,2502.0,tm375962,Nothing to Lose,MOVIE,"Authorized biopic of Brazilian evangelical bishop Edir Macedo, founder of the Universal Church of the Kingdom of God and owner of Record TV network. Based on a book trilogy of the same name, the movie tells the story of the self-made man who faced several moments of turbulence while pursuing his conviction.",2018,PG,130,tt6910020,2,23016
2506,2506.0,tm320489,Expedition Happiness,MOVIE,A German couple and their dog travel across North America in a school bus searching for a state of pure bliss.,2017,G,95,tt6688136,5,4483
2508,2508.0,tm280060,Step Sisters,MOVIE,"Jamilah has her whole life figured out. She's the president of her black sorority, captain of their champion step dance crew, is student liaison to the college dean, and her next move is on to Harvard Law School. She's got it all, right? But when the hard-partying white girls from Sigma Beta Beta embarrass the school, Jamilah is ordered to come to the rescue. Her mission is to not only teach the rhythmically-challenged girls how to step dance, but to win the Steptacular, the most competitive of dance competitions. With the SBBs reputations and charter on the line, and Jamilah's dream of attending Harvard in jeopardy, these outcast screw-ups and their unlikely teacher stumble through one hilarious misstep after another. Cultures clash, romance blossoms, and sisterhood prevails as everyone steps out of their comfort zones.",2018,PG-13,104,tt5267472,5,4460
